"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
5,"lp",1.0009770785513,2715.87820882928,2889.27098217058,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
1,"tau_B_sq",1.0015298374232,1497.01075668538,1856.40746743009,TRUE,"spatial",10000,5001,10,2000,6,0,500
1,"sigma_sq",1.00250300774773,1411.32139391564,1845.9384283657,TRUE,"spatial",10000,5001,10,2000,6,0,500
1,"eff_range",1.00070288988576,1777.35288403728,2475.60563501886,TRUE,"spatial",10000,5001,10,2000,6,0,500
1,"lp",1.00243095883243,1356.12301133682,1679.17151889002,TRUE,"spatial",10000,5001,10,2000,6,0,500
2,"tau_B_sq",1.00241702758161,1526.99772724538,1788.90583601202,TRUE,"spatial",10000,5001,10,2000,6,0,500
2,"sigma_sq",1.00465727485408,1878.2665616257,2501.95523610829,TRUE,"spatial",10000,5001,10,2000,6,0,500
2,"eff_range",1.00096981528285,1760.79811207319,2323.14169165398,TRUE,"spatial",10000,5001,10,2000,6,0,500
2,"lp",1.00291941122868,1371.91299538083,1775.38509756062,TRUE,"spatial",10000,5001,10,2000,6,0,500
3,"tau_B_sq",1.00353878047367,1635.62015570042,1737.48463566773,TRUE,"spatial",10000,5001,10,2000,6,0,500
3,"sigma_sq",1.00309477293597,1657.05276064418,2234.84515698621,TRUE,"spatial",10000,5001,10,2000,6,0,500
3,"eff_range",1.00257455529303,1841.02061944197,2653.75754112443,TRUE,"spatial",10000,5001,10,2000,6,0,500
3,"lp",1.00571037916932,1285.91588660364,1544.89294380058,TRUE,"spatial",10000,5001,10,2000,6,0,500
4,"tau_B_sq",1.00177024639387,1775.60711589759,2328.35889776716,TRUE,"spatial",10000,5001,10,2000,6,0,500
4,"sigma_sq",1.0017348173569,1907.32731945853,2754.70970928805,TRUE,"spatial",10000,5001,10,2000,6,0,500
4,"eff_range",1.00134127736516,1686.77253439874,2058.72772450518,TRUE,"spatial",10000,5001,10,2000,6,0,500
4,"lp",1.00329611620652,1474.96905097045,1620.81223771026,TRUE,"spatial",10000,5001,10,2000,6,0,500
5,"tau_B_sq",1.00146274617868,1626.91468505919,1735.6617963639,TRUE,"spatial",10000,5001,10,2000,6,0,500
5,"sigma_sq",1.00404603058735,1515.55040962661,2111.73482978287,TRUE,"spatial",10000,5001,10,2000,6,0,500
5,"eff_range",1.00253426132555,1400.7105894384,1807.81078726213,TRUE,"spatial",10000,5001,10,2000,6,0,500
5,"lp",1.00345024647894,1194.51919143515,1638.33432716556,TRUE,"spatial",10000,5001,10,2000,6,0,500
1,"tau_B_sq",1.00049429374659,3614.55096711539,3648.86133666786,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
1,"lp",1.0016999711688,2810.96092258011,2980.09473482925,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
2,"tau_B_sq",1.0013622834234,3795.12965698404,3626.64428336386,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
2,"lp",1.00076857110238,2789.94590247657,2751.12752292763,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
3,"tau_B_sq",1.00095289215361,3995.09276796683,3799.47683825971,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
3,"lp",1.0009399181232,2873.57088447256,3010.144475777,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
4,"tau_B_sq",1.00158788875551,3704.84936849527,3521.09189396846,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
4,"lp",1.00062668177771,2922.63775355887,2644.39328717568,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
5,"tau_B_sq",1.00195915706958,3988.54562994881,4061.93373003625,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
5,"lp",1.00208973916815,2678.52795761044,3016.55407983716,TRUE,"nonspatial",10000,5001,10,2000,6,0,500
1,"tau_B_sq",1.00265734999794,1627.16415459844,1851.6266697264,TRUE,"spatial",10000,5001,10,2000,7,0,500
1,"sigma_sq",1.00201292732851,1687.9594392349,1835.00013011517,TRUE,"spatial",10000,5001,10,2000,7,0,500
1,"eff_range",1.00274990046948,1760.29085647706,2106.79883365035,TRUE,"spatial",10000,5001,10,2000,7,0,500
1,"lp",1.0029996570645,1352.83553230778,1774.14681771012,TRUE,"spatial",10000,5001,10,2000,7,0,500
2,"tau_B_sq",1.00393378650199,1416.92966928947,1534.55625168249,TRUE,"spatial",10000,5001,10,2000,7,0,500
2,"sigma_sq",1.00377712970593,2030.61153312707,2301.85754727015,TRUE,"spatial",10000,5001,10,2000,7,0,500
2,"eff_range",1.0026498702544,1560.07455920467,1782.92663035344,TRUE,"spatial",10000,5001,10,2000,7,0,500
2,"lp",1.00501071221749,1242.81562180743,1347.45653439044,TRUE,"spatial",10000,5001,10,2000,7,0,500
3,"tau_B_sq",1.0023746957203,1575.74554964472,1697.38710796768,TRUE,"spatial",10000,5001,10,2000,7,0,500
3,"sigma_sq",1.00177617264412,1554.82580026602,1832.83682409535,TRUE,"spatial",10000,5001,10,2000,7,0,500
3,"eff_range",1.0033169002879,1510.22994211184,1608.87959490727,TRUE,"spatial",10000,5001,10,2000,7,0,500
3,"lp",1.00629988915897,966.35707754456,1117.26382501284,TRUE,"spatial",10000,5001,10,2000,7,0,500
4,"tau_B_sq",1.00154538907373,1798.64208023167,1826.23571128614,TRUE,"spatial",10000,5001,10,2000,7,0,500
4,"sigma_sq",1.00277334349878,1754.52265553529,2172.58940100522,TRUE,"spatial",10000,5001,10,2000,7,0,500
4,"eff_range",1.00239599330307,1760.43956910733,1961.05253042286,TRUE,"spatial",10000,5001,10,2000,7,0,500
4,"lp",1.00227185298351,1595.06255148557,1906.53409458752,TRUE,"spatial",10000,5001,10,2000,7,0,500
5,"tau_B_sq",1.00307999037983,1570.76129185312,1532.86305707361,TRUE,"spatial",10000,5001,10,2000,7,0,500
5,"sigma_sq",1.00057236917584,1635.57384711873,2043.99208251895,TRUE,"spatial",10000,5001,10,2000,7,0,500
5,"eff_range",1.00321262000542,1510.10445189234,1546.82938220301,TRUE,"spatial",10000,5001,10,2000,7,0,500
5,"lp",1.00278701904437,1217.57940655355,1345.7011822651,TRUE,"spatial",10000,5001,10,2000,7,0,500
1,"tau_B_sq",1.00107771149883,3530.74932375948,3993.86383929383,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
1,"lp",1.00078935228202,3012.54131171637,2838.06737861692,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
2,"tau_B_sq",1.00144312371341,3677.78974772457,3690.85207708206,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
2,"lp",1.00121688976522,3064.0147867118,3226.91712121577,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
3,"tau_B_sq",1.00129860842845,3724.37795157672,3815.47360536313,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
3,"lp",1.00126818553949,3021.99657715776,3166.18371730132,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
4,"tau_B_sq",1.00034082482589,3954.86596308331,4121.91104774844,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
4,"lp",1.00103338948784,3190.14659207613,2925.8018262067,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
5,"tau_B_sq",1.00114676279801,3878.93872265051,4321.04913559635,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
5,"lp",1.00072344941846,2981.19120628239,2818.50803188294,TRUE,"nonspatial",10000,5001,10,2000,7,0,500
1,"tau_B_sq",1.00193942948398,1609.99374464901,2201.21537595062,TRUE,"spatial",10000,5001,10,2000,8,0,500
1,"sigma_sq",1.00184406514961,1857.69319126295,2422.70724671718,TRUE,"spatial",10000,5001,10,2000,8,0,500
1,"eff_range",1.00920783620403,1370.93522414157,1632.47455941035,TRUE,"spatial",10000,5001,10,2000,8,0,500
1,"lp",1.00329054349791,1251.38154495695,1611.55581643997,TRUE,"spatial",10000,5001,10,2000,8,0,500
2,"tau_B_sq",1.00411609584747,1838.83877992237,2626.44386268067,TRUE,"spatial",10000,5001,10,2000,8,0,500
2,"sigma_sq",1.00259002689464,1763.52650166756,2268.14884496833,TRUE,"spatial",10000,5001,10,2000,8,0,500
2,"eff_range",1.00418545826022,1699.55379212269,1586.00093861423,TRUE,"spatial",10000,5001,10,2000,8,0,500
2,"lp",1.0021880143552,1317.94310603925,1549.42560683562,TRUE,"spatial",10000,5001,10,2000,8,0,500
3,"tau_B_sq",1.00152274149525,1826.82657134204,2768.59268510613,TRUE,"spatial",10000,5001,10,2000,8,0,500
3,"sigma_sq",1.00450875735701,1624.25878397438,2066.63332732616,TRUE,"spatial",10000,5001,10,2000,8,0,500
3,"eff_range",1.00317570215308,1572.72707653104,1691.69706047041,TRUE,"spatial",10000,5001,10,2000,8,0,500
3,"lp",1.00424681488834,1086.56821796078,1504.40012769695,TRUE,"spatial",10000,5001,10,2000,8,0,500
4,"tau_B_sq",1.00217254302035,1732.99682208318,2009.28217702567,TRUE,"spatial",10000,5001,10,2000,8,0,500
4,"sigma_sq",1.00279643598131,1822.00017304803,2359.41174688311,TRUE,"spatial",10000,5001,10,2000,8,0,500
